"resp_nr","voted","fair_election","correct_election","secure_election","econ_own","econ_accountab"
213,NA,3,1,1,2,3
214,"did vote",2,3,2,2,NA
215,"did vote",4,1,1,3,3
216,"did vote",4,3,1,2,5
217,"did vote",2,1,1,2,3
219,"did vote",1,1,1,2,2
220,"did vote",4,2,3,3,4
221,"did vote",4,4,4,3,2
222,"did vote",2,2,2,2,3
223,"did vote",1,1,1,3,5
224,"did vote",1,1,1,3,5
225,"did vote",1,1,1,2,3
227,"did vote",2,2,2,2,5
228,"did vote",1,1,1,1,2
229,"did vote",1,1,1,2,4
230,"did vote",1,1,1,1,3
231,"did vote",1,1,1,2,5
232,"did vote",2,2,2,2,3
233,"did vote",1,1,1,2,NA
234,"did vote",3,2,3,3,3
235,"did vote",2,1,2,2,3
236,"did vote",2,1,1,1,4
237,"did vote",3,3,3,3,3
238,"did vote",2,2,3,3,2
239,"did vote",1,1,1,2,4
240,"did vote",1,1,1,2,1
241,"did not vote",4,2,2,3,2
242,"did vote",2,2,2,2,3
243,"did vote",1,3,2,1,5
244,"did vote",1,1,1,3,4
245,"did vote",1,1,1,2,3
246,"did vote",2,2,2,2,4
247,"did vote",1,1,1,2,2
248,"did vote",2,2,1,1,4
249,"did vote",1,1,1,3,3
250,"did vote",1,1,1,1,4
251,"did vote",1,1,1,1,5
252,"did vote",2,1,2,2,4
253,"did vote",2,2,2,2,2
254,"did vote",2,2,1,2,3
255,"did not vote",2,2,2,3,2
256,NA,1,1,1,2,3
257,"did vote",1,1,1,2,2
258,NA,3,2,2,4,3
259,"did vote",5,4,1,3,5
260,"did vote",2,2,2,3,3
261,"did vote",4,3,3,2,5
262,"did vote",3,3,1,1,4
263,"did not vote",5,5,5,3,1
264,"did vote",4,4,4,3,1
265,"did not vote",2,2,2,3,2
266,"did vote",1,1,1,3,4
267,"did vote",3,2,2,2,2
269,"did vote",2,2,1,2,3
270,"did vote",2,1,3,2,3
271,"did vote",2,1,2,2,4
272,"did vote",2,2,2,2,3
273,"did vote",1,1,1,3,2
275,"did vote",1,1,1,1,5
276,"did vote",2,2,2,3,2
277,"did vote",1,1,1,2,3
278,"did vote",2,2,3,3,2
279,"did vote",1,1,1,2,5
280,"did vote",1,1,2,2,1
281,"did vote",2,2,2,2,3
282,"did vote",4,1,1,2,3
283,"did vote",1,1,2,2,3
284,"did vote",1,1,1,2,1
286,"did not vote",4,1,1,2,4
287,"did vote",4,1,1,2,5
288,"did vote",2,2,1,2,4
289,"did vote",2,2,2,2,5
290,"did vote",1,1,1,3,5
291,"did vote",2,3,2,2,3
292,"did vote",2,2,1,2,3
293,"did vote",2,1,1,1,3
294,"did vote",4,1,3,1,2
295,"did not vote",2,2,3,3,1
296,"did vote",2,2,2,3,5
297,"did vote",1,1,1,1,3
298,"did not vote",3,2,4,1,3
299,"did not vote",4,4,2,3,2
300,"did vote",1,1,1,3,3
301,"did vote",1,1,1,1,4
302,"did vote",4,2,2,3,4
303,"did vote",2,2,2,3,3
304,"did vote",1,3,2,3,2
305,"did vote",1,1,1,2,4
306,"did vote",NA,NA,NA,NA,NA
308,"did vote",3,2,2,3,3
309,"did vote",2,2,2,3,3
310,NA,3,2,1,1,5
311,"did vote",2,2,2,3,3
313,"did vote",3,1,1,2,4
315,"did vote",2,3,2,2,5
316,"did vote",1,1,1,3,5
318,"did vote",2,1,3,3,3
319,"did vote",4,2,3,1,3
320,"did not vote",2,3,3,2,2
321,"did vote",3,3,3,3,1
322,"did vote",2,1,1,4,2
323,"did vote",1,1,1,3,2
324,"did vote",4,1,1,2,2
325,"did vote",1,1,1,2,5
326,"did vote",1,1,4,3,3
327,"did vote",2,2,2,2,2
328,"did vote",1,1,1,4,1
329,"did vote",2,2,2,3,4
330,"did vote",1,1,1,3,1
331,"did vote",1,1,1,2,5
332,"did vote",1,1,1,3,2
333,"did vote",2,1,2,2,4
334,"did vote",1,1,1,2,NA
335,"did not vote",1,2,2,3,1
336,"did vote",2,NA,NA,3,2
338,"did vote",1,1,1,2,3
